0,31,300,86,59,252,79,303,136,86,126,308,23,262,65,145,285,273,250,39,321
70,0,309,90,197,317,138,25,140,59,164,61,100,48,302,46,193,177,288,123,131
197,261,0,52,319,289,272,189,178,294,34,230,81,305,43,46,140,294,169,280,294
62,211,292,0,208,253,133,109,25,196,254,278,48,109,320,191,235,259,101,49,54
267,105,26,65,0,139,289,56,168,299,79,92,139,125,165,229,318,159,30,281,90
227,125,71,116,167,0,227,63,194,22,69,197,26,36,52,133,29,183,23,215,323
255,173,230,125,162,161,0,70,167,159,132,38,154,212,278,115,52,27,87,163,251
33,187,111,35,152,213,244,0,223,300,144,320,314,195,298,30,153,114,157,270,106
282,254,53,136,24,57,313,132,0,72,52,301,148,267,66,141,157,248,59,189,108
219,279,87,256,25,261,244,44,54,0,53,22,240,298,214,160,158,187,299,242,142
191,85,98,196,84,288,171,206,140,149,0,26,158,48,64,25,48,105,31,57,93
64,57,180,98,138,316,130,283,58,221,85,0,229,308,57,264,61,256,58,186,86
234,266,316,135,61,308,159,116,263,160,274,149,0,213,84,216,139,215,208,146,291
26,168,129,146,162,131,298,194,128,220,77,295,109,0,302,38,225,243,237,304,99
125,278,107,176,169,83,80,55,271,99,293,131,210,86,0,205,243,57,294,220,270
77,311,281,251,101,40,200,211,119,74,139,171,81,223,255,0,236,76,225,90,303
235,184,236,213,221,286,67,278,228,68,126,116,74,73,287,233,0,157,199,22,107
76,250,120,236,313,320,251,54,293,43,170,106,277,218,74,260,283,0,301,297,179
272,81,284,138,223,104,117,309,185,226,41,215,264,134,194,27,23,55,0,316,298
147,192,233,305,269,114,268,150,316,144,102,211,139,284,233,46,207,218,81,0,58
99,230,228,319,248,179,323,253,195,131,246,205,316,273,88,110,212,106,83,132,0
