0,2163,1236,576,1146,621,755,710,1503,2208,1860,359,1479,666,914,427,2014,1307,1125,1456,1091
2163,0,1877,1803,1124,2135,2852,2870,2468,563,2848,2392,2365,1495,2605,2096,4157,1038,2408,2384,1601
1236,1877,0,1501,1501,1758,1468,1671,2603,2233,1003,1137,501,1055,2142,831,2960,869,2277,2538,1864
576,1803,1501,0,689,352,1316,1202,1103,1735,2312,934,1869,505,836,878,2381,1194,808,1037,514
1146,1124,1501,689,0,1011,1895,1842,1458,1065,2470,1453,1975,563,1481,1247,3069,814,1316,1375,545
621,2135,1758,352,1011,0,1238,1050,883,2017,2476,958,2071,839,484,1025,2102,1540,521,834,667
755,2852,1468,1316,1895,1238,0,306,2024,2950,1639,459,1450,1376,1264,776,1492,1897,1626,2001,1823
710,2870,1671,1202,1842,1050,306,0,1770,2907,1936,551,1751,1375,992,892,1337,1976,1376,1755,1684
1503,2468,2603,1103,1458,883,2024,1770,0,2145,3359,1823,2948,1589,787,1908,2411,2208,397,84,912
2208,563,2233,1735,1065,2017,2950,2907,2145,0,3233,2500,2734,1581,2445,2254,4113,1364,2172,2065,1386
1860,2848,1003,2312,2470,2476,1639,1936,3359,3233,0,1582,502,1962,2737,1452,2947,1869,2986,3308,2757
359,2392,1137,934,1453,958,459,551,1823,2500,1582,0,1262,920,1155,342,1884,1448,1433,1784,1449
1479,2365,501,1869,1975,2071,1450,1751,2948,2734,502,1262,0,1483,2387,1053,2889,1370,2591,2890,2288
666,1495,1055,505,563,839,1376,1375,1589,1581,1962,920,1483,0,1310,685,2574,708,1313,1517,810
914,2605,2142,836,1481,484,1264,992,787,2445,2737,1155,2387,1310,0,1340,1741,2017,415,786,1060
427,2096,831,878,1247,1025,776,892,1908,2254,1452,342,1053,685,1340,0,2226,1120,1541,1856,1365
2014,4157,2960,2381,3069,2102,1492,1337,2411,4113,2947,1884,2889,2574,1741,2226,0,3310,2127,2444,2763
1307,1038,869,1194,814,1540,1897,1976,2208,1364,1869,1448,1370,708,2017,1120,3310,0,1984,2129,1322
1125,2408,2277,808,1316,521,1626,1376,397,2172,2986,1433,2591,1313,415,1541,2127,1984,0,379,808
1456,2384,2538,1037,1375,834,2001,1755,84,2065,3308,1784,2890,1517,786,1856,2444,2129,379,0,829
1091,1601,1864,514,545,667,1823,1684,912,1386,2757,1449,2288,810,1060,1365,2763,1322,808,829,0}
